GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bankify,edu.dosw.lab.bankify.domain,Account,0,35,0,0,0,12,0,7,0,7
bankify,edu.dosw.lab.bankify.domain,Bank,12,18,2,2,4,6,4,2,2,2
bankify,edu.dosw.lab.bankify.domain,Client,30,35,1,1,7,12,8,4,7,4
bankify,edu.dosw.lab,App,246,0,0,0,66,0,3,0,3,0
bankify,edu.dosw.lab.bankify.repository,ClientRepository,5,23,0,0,1,5,1,3,1,3
bankify,edu.dosw.lab.bankify.repository,AccountRepository,0,23,0,0,0,5,0,3,0,3
bankify,edu.dosw.lab.bankify.repository,BankRepository,18,21,0,0,2,5,2,3,2,3
bankify,edu.dosw.lab.bankify.exception,BankingBusinessException,5,4,0,0,2,2,1,1,1,1
bankify,edu.dosw.lab.planningPoker,PlanningPokerMain,3,42,0,0,1,14,1,3,1,3
bankify,edu.dosw.lab.planningPoker,TeamMemberFactory,3,78,0,2,1,5,1,3,1,2
bankify,edu.dosw.lab.planningPoker,UserStoryFactory,3,195,0,2,1,11,1,6,1,5
bankify,edu.dosw.lab.planningPoker,PlanningPokerSession,0,170,0,16,0,43,0,13,0,5
bankify,edu.dosw.lab.planningPoker,TeamMemberFactory.TeamMember,0,115,0,8,0,25,0,9,0,5
bankify,edu.dosw.lab.planningPoker,UserStory,0,73,0,0,0,17,0,9,0,9
bankify,edu.dosw.lab.bankify,BankingSystem,122,0,0,0,28,0,2,0,2,0
bankify,edu.dosw.lab.bankify.service,ExtendedAccountService,5,172,2,12,1,42,2,19,0,14
bankify,edu.dosw.lab.bankify.service,AccountValidator,0,33,0,6,0,8,0,5,0,2
bankify,edu.dosw.lab.bankify.service,AccountService,5,86,2,6,1,19,2,8,0,6
